 0.000000  1.000000  0.100000
 0.010000  0.967248  0.096725
 0.020000  0.875892  0.087589
 0.030000  0.744326  0.074433
 0.040000  0.596513  0.059651
 0.050000  0.454921  0.045492
 0.060000  0.335059  0.033506
 0.070000  0.243325  0.024333
 0.080000  0.178232  0.017823
 0.090000  0.133721  0.013372
 0.100000  0.102754  0.010275
 0.110000  0.079778  0.007978
 0.120000  0.061593  0.006159
 0.130000  0.046943  0.004694
 0.140000  0.035573  0.003557
 0.150000  0.027376  0.002738
 0.160000  0.021957  0.002196
 0.170000  0.018600  0.001860
 0.180000  0.016453  0.001645
 0.190000  0.014762  0.001476
 0.200000  0.013038  0.001304
